StartDate,EndDate,Status,,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,,,DistributionChannel,UserLanguage,Q1,Q4,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q72,Q15,Q16,Q69,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q49,Q48,Q50,Q51,Q70,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q61,Q60,Q62,Q63,Q71,Q65,Q66,Q67,Q68,MTurkCode,position,position2
11/1/17 12:27,11/1/17 12:39,0,,100,716,1,11/1/17 12:39,R_1OPjHWu4RRC6egt,,,,,,,anonymous,EN,1,4,1,3,1,5,3,5,1,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,1,2,1,1,2,5,1,5,1,6,1,5,1,5,5,1,,It will be lost,3,2,56,,start,
10/31/17 9:31,10/31/17 9:33,0,,74,100,0,11/7/17 8:33,R_27UJp7G7V9cY1Yy,,,,,,,anonymous,EN,1,4,4,4,2,4,4,4,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,start,
10/31/17 1:38,11/1/17 0:17,0,,2,81582,0,11/7/17 23:18,R_WCokHeZKCIksh6V,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,end,
11/1/17 0:17,11/1/17 0:18,8,,2,10,0,11/7/17 23:18,R_QaEBY47ieDxd7Rn,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,end,
11/1/17 1:27,11/3/17 0:15,0,,58,168486,0,11/9/17 23:15,R_10red1f8Oez77ri,,,,,,,anonymous,EN,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,end,
11/12/17 2:46,11/12/17 2:48,1,,100,84,1,11/12/17 2:48,R_YR2owoJHd6fS4x3,,,,,,,preview,EN,1,4,6,3,6,4,5,7,6,6,5,6,,1,1,1,1,1,1,1,1,1,1,6,7,6,5,7,6,6,7,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,visa gobi,6,1,23,,start,start
11/12/17 3:05,11/12/17 3:09,0,,100,247,1,11/12/17 3:09,R_pADPurnd2CAXDoZ,,,,,,,anonymous,EN,1,,7,4,2,7,5,7,7,3,1,2,7,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,1,2,2,2,,7,1,1,7,7,7,7,2,2,2,7,I will get a $100 Visa Card,7,1,39,,end,end
11/12/17 3:40,11/12/17 3:49,0,,100,563,1,11/12/17 3:49,R_33dtuDJeC8VxRNO,,,,,,,anonymous,EN,1,,4,6,6,5,7,4,6,3,1,2,4,2,2,2,1,1,1,1,1,2,2,4,4,5,4,6,5,5,5,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,Thry would expire,4,1,58,,end,start
11/12/17 3:56,11/12/17 4:02,0,,100,360,1,11/12/17 4:02,R_1oBfRsXb6JF63ZV,,,,,,,anonymous,EN,1,5,5,7,4,7,7,5,3,7,4,4,,1,1,2,1,1,2,2,1,1,2,,5,7,4,5,5,4,4,7,5,4,5,,,,,,,,,,,,,,,,,,,,,,,I would probably use them,6,1,56,,start,end
11/12/17 3:53,11/12/17 4:04,0,,100,605,1,11/12/17 4:04,R_3ez68TUkfywtVvU,,,,,,,anonymous,EN,1,,3,2,4,4,5,4,7,4,5,6,5,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,1,2,1,2,1,6,3,4,2,6,4,4,1,4,2,4,,It will expire. You said that it's the only way to spend the miles. Therefore I'm assuming I won't receive the $100 Visa card if they expire. If that's not what you meant then you should rephrase.,3,1,24,,end,start
11/12/17 4:24,11/12/17 4:28,0,,100,209,1,11/12/17 4:28,R_2Tn28GTT2NvRFs6,,,,,,,anonymous,EN,1,,3,4,6,6,1,3,1,4,1,2,5,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,5,4,3,5,7,1,4,1,4,1,2,,"I would spend them on flight tickets. 50,000 miles is generally worth $500+ on flights, so all of the other offers listed are terrible value.",7,2,25,,end,start
11/12/17 4:47,11/12/17 4:52,0,,100,323,1,11/12/17 4:52,R_1mQlkM7NqLGR8AK,,,,,,,anonymous,EN,1,,7,6,3,6,5,5,2,5,3,5,4,1,1,2,1,1,1,2,1,2,1,5,7,4,3,6,5,5,2,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,I would receive a Î£100 visa giftcard,3,2,28,,end,start
11/12/17 6:06,11/12/17 6:12,0,,100,352,1,11/12/17 6:12,R_3EMuFBhOaX8wl74,,,,,,,anonymous,EN,1,,1,4,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,2,,1,7,1,7,1,1,1,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,Take a vacation and use miles or gift a vacation to some one,4,1,54,,end,end
11/12/17 6:14,11/12/17 6:18,0,,100,226,1,11/12/17 6:18,R_31BJuqcGx8PgXnj,,,,,,,anonymous,EN,1,7,4,5,4,7,6,6,3,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,1,2,1,2,2,7,4,5,4,7,5,6,4,7,3,4,,Miles expire and I receive a $100 Visa gift card,3,1,66,,start,start
11/12/17 6:40,11/12/17 6:45,0,,100,283,1,11/12/17 6:45,R_3Rll1COA547Uafd,,,,,,,anonymous,EN,1,,7,7,4,7,7,7,1,7,7,1,7,1,2,2,1,1,1,2,1,1,2,7,7,7,4,7,7,7,1,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,They would expire.,7,1,60,,end,start
11/12/17 7:34,11/12/17 7:39,0,,100,289,1,11/12/17 7:39,R_x3ZJpFEkqBRmEOl,,,,,,,anonymous,EN,1,,5,5,3,5,5,4,3,3,3,3,5,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,,5,5,3,5,5,4,3,3,3,3,5,You would get 100$,5,2,29,,end,end
11/12/17 9:18,11/12/17 9:23,0,,100,301,1,11/12/17 9:23,R_22tpzGPVkmHUGBX,,,,,,,anonymous,EN,1,7,3,7,4,7,7,6,3,7,4,6,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,1,2,1,2,2,7,3,7,4,7,7,6,2,7,4,6,,Receive a $100 visa giftcard,3,2,20,,start,start
11/12/17 9:33,11/12/17 9:38,0,,100,271,1,11/12/17 9:38,R_2BncnPUDqU2IHLu,,,,,,,anonymous,EN,1,5,5,6,4,7,7,5,4,3,4,3,,2,2,1,2,1,2,2,2,2,2,,6,6,3,6,3,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,I would forget about them ,6,1,22,,start,end
11/12/17 9:41,11/12/17 9:46,0,,100,311,1,11/12/17 9:46,R_1difaMDj3QXArQJ,,,,,,,anonymous,EN,1,6,2,3,3,7,6,7,1,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,2,2,1,2,2,,3,3,3,7,7,3,1,4,3,1,5,Get $100 Visa gift card,2,1,65,,start,end
11/12/17 10:15,11/12/17 10:19,0,,100,219,1,11/12/17 10:19,R_2CvpsljqZEMR9gL,,,,,,,anonymous,EN,1,7,4,4,2,7,6,4,1,3,3,2,,2,2,2,1,1,2,2,2,2,2,7,5,5,1,7,6,3,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,They would go away,5,2,21,,start,start
11/12/17 10:38,11/12/17 10:45,0,,100,424,1,11/12/17 10:45,R_a5WnCJbwexkjzfr,,,,,,,anonymous,EN,1,,4,7,5,7,7,7,1,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,2,2,1,2,,6,7,5,7,5,5,1,5,7,7,5,"I would likely try to use them for an upgrade - however, if I cant - I will most likely lose them ",4,2,39,,end,end
11/12/17 11:14,11/12/17 11:21,0,,100,412,1,11/12/17 11:21,R_3mGeCAAlOgqykyR,,,,,,,anonymous,EN,1,,3,7,3,7,1,5,3,1,3,6,7,2,2,2,1,2,1,2,2,2,1,6,3,6,4,7,1,7,3,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,I would have tried to convince the airline to use them for environmental conservation projects or education projects to fly young adults from developing nations to an international conference on environmental conservation.,7,2,24,,end,start
11/12/17 11:41,11/12/17 11:44,0,,100,200,1,11/12/17 11:44,R_BDr7tbkA7JtoOul,,,,,,,anonymous,EN,1,7,4,6,5,7,6,7,5,6,5,3,,2,2,2,1,1,1,2,1,2,2,7,4,4,5,7,6,7,4,6,4,3,,,,,,,,,,,,,,,,,,,,,,,,"They would expire, and I would start again with 0 miles.",5,1,22,,start,start
11/12/17 14:17,11/12/17 14:24,0,,100,444,1,11/12/17 14:24,R_3p5XaGUl06Duez2,,,,,,,anonymous,EN,1,6,5,7,4,7,6,5,5,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,2,2,2,2,2,6,5,6,3,7,5,3,3,1,4,3,,I would like them to benefit traveling somehow.,5,1,25,,start,start
11/12/17 14:30,11/12/17 14:34,0,,100,237,1,11/12/17 14:34,R_Z50QRCdDiaFJnBn,,,,,,,anonymous,EN,1,,1,7,3,5,1,1,1,4,7,1,1,2,1,2,1,2,2,2,2,1,2,,3,7,3,7,2,1,1,4,7,1,2,,,,,,,,,,,,,,,,,,,,,,,i would still have them until they hit the expiry date,3,2,18,,end,end
11/12/17 15:10,11/12/17 15:17,0,,100,403,1,11/12/17 15:17,R_3M3tsAoPRIikg4C,,,,,,,anonymous,EN,1,,7,7,7,7,7,7,1,7,5,7,7,1,1,1,1,1,1,2,1,2,2,,7,7,7,7,7,7,1,7,7,6,7,,,,,,,,,,,,,,,,,,,,,,,$100 visa gift card,3,2,23,,end,end
11/12/17 18:45,11/12/17 18:49,0,,100,263,1,11/12/17 18:49,R_3QKPdhWRp200adT,,,,,,,anonymous,EN,1,,4,7,2,5,7,3,2,4,5,5,3,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,1,4,7,2,3,6,2,2,2,4,2,,you'd get a $100 visa gift card,5,1,24,,end,start
11/12/17 19:29,11/12/17 19:33,0,,100,269,1,11/12/17 19:33,R_OBhxOHPM9MQeSqt,,,,,,,anonymous,EN,1,,7,7,3,7,5,7,1,7,1,7,7,1,2,2,1,1,1,2,1,2,1,7,7,1,3,7,5,7,1,7,1,7,,,,,,,,,,,,,,,,,,,,,,,,Use for other discount or take the $100 visa gift card ,6,2,22,,end,start
11/12/17 20:11,11/12/17 20:17,0,,100,324,1,11/12/17 20:17,R_1jU4rg9QrY1uHVq,,,,,,,anonymous,EN,1,3,5,7,2,4,3,2,2,4,6,5,,1,1,2,1,2,2,2,1,1,2,3,6,7,2,4,3,2,1,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,They would expire,5,1,30,,start,start
11/12/17 23:16,11/12/17 23:25,0,,100,529,1,11/12/17 23:25,R_Y39xuADuxcnmIBH,,,,,,,anonymous,EN,1,6,4,2,1,7,1,5,1,2,7,1,,2,2,2,1,2,2,2,2,2,2,7,4,2,1,7,2,6,2,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,"I might not use them, unless I am traveling somewhere. ",3,1,26,,start,start
11/13/17 2:07,11/13/17 2:12,0,,100,305,1,11/13/17 2:12,R_PYz5kISe1EhBtId,,,,,,,anonymous,EN,1,7,1,7,4,7,6,7,5,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,1,1,1,1,1,,4,6,4,7,5,7,5,6,7,6,7,Convert them to miles on another card,7,2,45,,start,end
11/13/17 10:30,11/13/17 10:34,0,,100,250,1,11/13/17 10:34,R_XTbB5cAIXFeeVTb,,,,,,,anonymous,EN,1,,7,7,3,5,7,5,3,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,4,7,6,3,4,7,5,3,4,3,3,,I would receive a $100-$150 gift card,5,1,23,,end,start
11/14/17 13:11,11/14/17 13:20,0,,100,562,1,11/14/17 13:20,R_usoBNRlmbPVKSNr,,,,,,,anonymous,EN,1,,6,7,4,7,6,5,3,2,4,5,3,1,1,2,1,1,1,2,2,1,2,2,5,7,3,6,5,3,2,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,Receive a $100 visa card ,3,2,32,,end,start
11/14/17 13:17,11/14/17 13:22,0,,100,296,1,11/14/17 13:22,R_spdt3rnpcXKmXkZ,,,,,,,anonymous,EN,1,5,7,7,4,6,5,4,5,3,3,5,,1,1,2,1,1,1,2,1,2,2,,5,7,4,6,5,4,5,4,5,5,6,,,,,,,,,,,,,,,,,,,,,,,$100 VISA gift card ,3,2,22,,start,end
11/14/17 20:29,11/14/17 20:33,0,,100,251,1,11/14/17 20:33,R_U9JHzyX8CyY8Rfr,,,,,,,anonymous,EN,1,,7,7,5,6,7,4,3,5,5,4,6,1,1,2,1,1,1,2,1,1,2,,7,7,4,5,7,4,3,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,they would expire,7,2,20,,end,end
11/14/17 22:49,11/14/17 22:54,0,,100,282,1,11/14/17 22:54,R_2tEbevjDdOeTpN2,,,,,,,anonymous,EN,1,7,3,7,3,7,2,5,1,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,2,1,1,2,7,5,7,4,7,5,7,1,7,7,7,,They would expire and I would get a $100 Visa Gift card.,3,1,24,,start,start
11/15/17 19:55,11/15/17 20:02,0,,100,382,1,11/15/17 20:02,R_25BICn0pVDpKmzH,,,,,,,anonymous,EN,1,,7,7,5,7,7,7,5,7,2,4,7,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,7,7,7,7,7,7,7,4,7,3,7,,I would try to redeem them or travel,3,2,56,,end,start
11/16/17 13:38,11/16/17 13:43,0,,100,281,1,11/16/17 13:43,R_UnFnzpuOrcf074d,,,,,,,anonymous,EN,1,7,7,7,7,7,7,7,7,7,7,7,,1,1,1,1,1,1,2,1,2,2,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,"Get $100 visa giftcard. Or was that one of the 10 options? If so, just spend them on a flight",3,2,23,,start,start
11/19/17 2:03,11/19/17 2:06,0,,100,195,1,11/19/17 2:06,R_2SfCA6NbBJnQjy9,,,,,,,anonymous,EN,1,7,6,5,2,5,5,4,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,2,2,1,2,,6,6,1,6,6,5,1,1,4,1,7,ged lit,6,1,20,,start,end
11/12/17 3:04,11/12/17 3:10,0,,2,345,0,11/19/17 3:11,R_b1qECq7dHr13Jbr,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,end,start
11/12/17 6:20,11/12/17 6:22,0,,95,126,0,11/19/17 6:22,R_RKSBKbRKiT1EHC1,,,,,,,anonymous,EN,1,7,7,7,1,7,1,4,1,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,,6,6,1,7,1,3,1,5,3,1,4,I would have flown ,,,,,start,end
11/12/17 8:55,11/12/17 8:57,0,,58,93,0,11/19/17 8:57,R_2OSVskg6eXPPB9M,,,,,,,anonymous,EN,1,7,5,6,5,7,7,6,7,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start,end
11/12/17 9:43,11/12/17 9:43,0,,2,14,0,11/19/17 9:44,R_1Cyf97xhUpw6Hdb,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,end,end
11/12/17 10:31,11/12/17 10:31,0,,2,10,0,11/19/17 10:31,R_2Suwnink5DljFla,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,end,start
11/12/17 12:13,11/12/17 12:26,0,,58,776,0,11/19/17 12:27,R_3Gdo6UWD6EuYmVg,,,,,,,anonymous,EN,1,5,3,6,5,7,7,4,6,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start,end
11/19/17 12:47,11/19/17 12:54,0,,100,426,1,11/19/17 12:54,R_2S1XgGzYpBDAQx5,,,,,,,anonymous,EN,1,,4,6,3,6,4,2,2,5,5,2,4,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,2,1,2,2,,5,6,3,5,5,5,2,5,2,2,4,Get a $100 visa card,4,1,30,,end,end
11/12/17 16:21,11/12/17 16:26,0,,74,308,0,11/19/17 16:27,R_3NExbfGTNuxOlH9,,,,,,,anonymous,EN,1,,7,7,7,7,7,7,7,6,3,7,7,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,end,start
11/12/17 16:32,11/12/17 16:32,0,,2,19,0,11/19/17 16:33,R_2waE82SICbI8yjG,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start,end
11/12/17 22:15,11/12/17 22:18,0,,74,167,0,11/19/17 22:18,R_3EHnu1XvdqymWh7,,,,,,,anonymous,EN,1,7,7,7,7,7,7,1,1,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,start,end
11/12/17 22:42,11/12/17 22:44,0,,2,127,0,11/19/17 22:44,R_42P6go6cBuMXSjT,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start,end
11/13/17 7:28,11/13/17 7:29,0,,58,42,0,11/20/17 7:29,R_6EzlyhXdkPKRrPP,,,,,,,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start,start
